date,price
2017-09-10,2804
2017-09-11,3204
2017-09-12,3187
2017-09-13,2867
2017-09-14,3396
2017-09-15,3447
2017-09-16,2430
2017-09-17,2548
2017-09-18,3065
2017-09-19,2725
2017-09-20,3165
2017-09-21,3240
2017-09-22,3637
2017-09-23,2874
2017-09-24,2930
2017-09-25,3460
2017-09-26,3156
2017-09-27,3089
2017-09-28,3387
2017-09-29,3481
2017-09-30,2744
2017-10-01,2567
2017-10-02,2981
2017-10-03,2646
2017-10-04,2581
2017-10-05,3240
2017-10-06,2701
2017-10-07,2257
2017-10-08,2995
2017-10-09,2434
2017-10-10,2790
2017-10-11,2045
2017-10-12,2673
2017-10-13,3222
2017-10-14,1079
2017-10-15,2237
2017-10-16,2721
2017-10-17,3105
2017-10-18,3229
2017-10-19,3177
2017-10-20,3369
2017-10-21,2736
2017-10-22,2010
2017-10-23,1897
2017-10-24,1614
2017-10-25,3231
2017-10-26,3248
2017-10-27,2985
2017-10-28,2615
2017-10-29,2685
2017-10-30,2870
2017-10-31,3091
2017-11-01,2361
2017-11-02,2289
2017-11-03,2343
2017-11-04,2014
2017-11-05,2202
2017-11-06,2945
2017-11-07,2731
2017-11-08,3084
2017-11-09,3091
2017-11-10,2270
2017-11-11,2596
2017-11-12,1957
2017-11-13,2799
2017-11-14,2817
2017-11-15,2019
2017-11-16,2394
2017-11-17,2730
2017-11-18,1789
2017-11-19,2884
2017-11-20,3090
2017-11-21,2714
2017-11-22,2589
2017-11-23,3558
2017-11-24,3139
2017-11-25,3111
2017-11-26,3007
2017-11-27,3029
2017-11-28,2552
2017-11-29,2837
2017-11-30,3040
2017-12-01,3080
2017-12-02,2772
2017-12-03,3028
2017-12-04,2727
2017-12-05,2828
2017-12-06,3065
2017-12-07,3008
2017-12-08,3186
2017-12-09,2175
2017-12-10,2708
2017-12-11,2426
2017-12-12,2727
2017-12-13,2578
2017-12-14,2781
2017-12-15,2965
2017-12-16,2606
2017-12-17,2261
2017-12-18,2151
2017-12-19,2845
2017-12-20,2704
2017-12-21,2715
2017-12-22,2937
2017-12-23,2697
2017-12-24,892
2017-12-25,1941
2017-12-26,1608
2017-12-27,1667
2017-12-28,1351
2017-12-29,1094
2017-12-30,1604
2017-12-31,1916
2018-01-01,2026
2018-01-02,1635
2018-01-03,1562
2018-01-04,1744
2018-01-05,1924
2018-01-06,2265
2018-01-07,1692
2018-01-08,2358
2018-01-09,2311
2018-01-10,1955
2018-01-11,1812
2018-01-12,2038
2018-01-13,2218
2018-01-14,1914
2018-01-15,1045
2018-01-16,1774
2018-01-17,2019
2018-01-18,2188
2018-01-19,2553
2018-01-20,2033
2018-01-21,1929
2018-01-22,2070
2018-01-23,1959
2018-01-24,2105
2018-01-25,2616
2018-01-26,2591
2018-01-27,2164
2018-01-28,2030
2018-01-29,2131
2018-01-30,2684
2018-01-31,2654
2018-02-01,2618
2018-02-02,2082
2018-02-03,2251
2018-02-04,983
2018-02-05,1380
2018-02-06,1834
2018-02-07,1922
2018-02-08,2030
2018-02-09,288
2018-02-10,1192
2018-02-11,1060
2018-02-12,1795
2018-02-13,1952
2018-02-14,2242
2018-02-15,2058
2018-02-16,2611
2018-02-17,1877
2018-02-18,2205
2018-02-19,1230
2018-02-20,1571
2018-02-21,2284
2018-02-22,2679
2018-02-23,2524
2018-02-24,2236
2018-02-25,2502
2018-02-26,2973
2018-02-27,2856
2018-02-28,2734
2018-03-01,2260
2018-03-02,2981
2018-03-03,2585
2018-03-04,2584
2018-03-05,2450
2018-03-06,2354
2018-03-07,2934
2018-03-08,3100
2018-03-09,3404
2018-03-10,2717
2018-03-11,2784
2018-03-12,2675
2018-03-13,2527
2018-03-14,3233
2018-03-15,3141
2018-03-16,3328
2018-03-17,2885
2018-03-18,2833
2018-03-19,3103
2018-03-20,3007
2018-03-21,3235
2018-03-22,3381
2018-03-23,3518
2018-03-24,2689
2018-03-25,2925
2018-03-26,2144
2018-03-27,1997
2018-03-28,2188
2018-03-29,2243
2018-03-30,2447
2018-03-31,2686
2018-04-01,3122
2018-04-02,3373
2018-04-03,2016
2018-04-04,3096
2018-04-05,3051
2018-04-06,3433
2018-04-07,3205
2018-04-08,2975
2018-04-09,2646
2018-04-10,3172
2018-04-11,3270
2018-04-12,3405
2018-04-13,2007
2018-04-14,1991
2018-04-15,2038
2018-04-16,2759
2018-04-17,3047
2018-04-18,2418
2018-04-19,2615
2018-04-20,3484
2018-04-21,2622
2018-04-22,2728
2018-04-23,3074
2018-04-24,3270
2018-04-25,3108
2018-04-26,3135
2018-04-27,3337
2018-04-28,2637
2018-04-29,2794
2018-04-30,3477
2018-05-01,3195
2018-05-02,2996
2018-05-03,2592
2018-05-04,3452
2018-05-05,2691
2018-05-06,2598
2018-05-07,3109
2018-05-08,3120
2018-05-09,2515
2018-05-10,2961
2018-05-11,2711
2018-05-12,2471
2018-05-13,3047
2018-05-14,2679
2018-05-15,2959
2018-05-16,3213
2018-05-17,3014
2018-05-18,3011
2018-05-19,2553
2018-05-20,2545
2018-05-21,1911
2018-05-22,2904
2018-05-23,3298
2018-05-24,3169
2018-05-25,3504
2018-05-26,2609
2018-05-27,2935
2018-05-28,2555
2018-05-29,2764
2018-05-30,2690
2018-05-31,3098
2018-06-01,3115
2018-06-02,2451
2018-06-03,2560
2018-06-04,3017
2018-06-05,2813
2018-06-06,2949
2018-06-07,3107
2018-06-08,2911
2018-06-09,2370
2018-06-10,2092
2018-06-11,2794
2018-06-12,3103
2018-06-13,3306
2018-06-14,2901
2018-06-15,2995
2018-06-16,2799
2018-06-17,3033
2018-06-18,3222
2018-06-19,3224
2018-06-20,2081
2018-06-21,1373
2018-06-22,1672
2018-06-23,2667
2018-06-24,2819
2018-06-25,2105
2018-06-26,1916
2018-06-27,2180
2018-06-28,2442
2018-06-29,2632
2018-06-30,2868
2018-07-01,2582
2018-07-02,2158
2018-07-03,2321
2018-07-04,2887
2018-07-05,2019
2018-07-06,2246
2018-07-07,2397
2018-07-08,2432
2018-07-09,2412
2018-07-10,2373
2018-07-11,2500
2018-07-12,2458
2018-07-13,2569
2018-07-14,2222
2018-07-15,2697
2018-07-16,2162
2018-07-17,2194
2018-07-18,2217
2018-07-19,2315
2018-07-20,2064
2018-07-21,2279
2018-07-22,2125
2018-07-23,2272
2018-07-24,2312
2018-07-25,2323
2018-07-26,2354
2018-07-27,2498
2018-07-28,2670
2018-07-29,2522
2018-07-30,2282
2018-07-31,2170
2018-08-01,2162
2018-08-02,2045
2018-08-03,2277
2018-08-04,2482
2018-08-05,2537
2018-08-06,1669
2018-08-07,1769
2018-08-08,2054
2018-08-09,1924
2018-08-10,2037
2018-08-11,2453
2018-08-12,2394
2018-08-13,1928
2018-08-14,2017
2018-08-15,1871
2018-08-16,2127
2018-08-17,2117
2018-08-18,2636
2018-08-19,2581
2018-08-20,1589
2018-08-21,1904
2018-08-22,1964
2018-08-23,1946
2018-08-24,1759
2018-08-25,2518
2018-08-26,2564
2018-08-27,1995
2018-08-28,1784
2018-08-29,1966
2018-08-30,2227
2018-08-31,2286
2018-09-01,2163
2018-09-02,2630
2018-09-03,1948
2018-09-04,3077
2018-09-05,2968
2018-09-06,2190
2018-09-07,2425
2018-09-08,2553
2018-09-09,2719
2018-09-10,3090
2018-09-11,3131
2018-09-12,3029
2018-09-13,2886
2018-09-14,3022
2018-09-15,2456
2018-09-16,2373
2018-09-17,2903
2018-09-18,2751
2018-09-19,2640
2018-09-20,3008
2018-09-21,3313
2018-09-22,2466
2018-09-23,2552
2018-09-24,2790
2018-09-25,2554
2018-09-26,3065
2018-09-27,3143
2018-09-28,2737
2018-09-29,2647
2018-09-30,2548
2018-10-01,3179
2018-10-02,2634
2018-10-03,3297
2018-10-04,3097
2018-10-05,2551
2018-10-06,2036
2018-10-07,2107
2018-10-08,2207
2018-10-09,3107
2018-10-10,2215
2018-10-11,3269
2018-10-12,3027
2018-10-13,2652
2018-10-14,2774
2018-10-15,3237
2018-10-16,3545
2018-10-17,3759
2018-10-18,3225
2018-10-19,2777
2018-10-20,2833
2018-10-21,2870
2018-10-22,3449
2018-10-23,3560
2018-10-24,3404
2018-10-25,3310
2018-10-26,3357
2018-10-27,2568
2018-10-28,2331
2018-10-29,3421
2018-10-30,2979
